100472688-n,00471613-n;00474568-n
103347602-n,03342657-n;03342863-n
103701391-n,02873244-n;03696065-n
104756794-n,04749572-n;04806655-n
105989123-n,05980256-n;06223468-n
107309129-n,07294423-n;07294907-n
107985266-n,07968974-n;08375526-n
108102739-n,08085824-n;08153022-n
108925281-n,08905313-n;08905751-n
109659490-n,09636339-n;09637013-n
110172934-n,10153414-n;10621140-n
200035596-v,00035603-v;00037919-v
200680696-v,00678777-v;02599754-v
200714537-v,00688377-v;00712708-v
200899241-v,00784342-v;00897746-v
201009072-v,01007027-v;01031966-v
201185870-v,01183573-v;02667900-v
201783082-v,01779165-v;01780104-v
202097174-v,02010255-v;02092907-v
300178829-s,00177547-a;00604978-a
300244035-s,00242575-a;00242832-a
300493366-s,00024834-a;00491320-a
300625237-a,00622581-a;01549185-a
300667636-a,00664449-a;01342572-a
300679361-s,00675928-a;00676093-a
300851098-s,00847577-a;00847861-a
300913487-s,00910404-a;02442765-a
301159816-s,01156302-a;01492061-a
301290284-s,01287282-a;01717471-a
301378757-s,01287972-a;01375831-a
301408930-a,01405904-a;01406180-a
301613579-s,01608997-a;01610261-a
301669663-a,01665184-a;01665457-a
301669663-a,01665457-a;01665581-a
301679481-s,01288298-a;01674926-a
301751468-s,01746995-a;02323204-a
301862151-s,00901060-a;01856238-a
301939402-a,01932973-a;01937994-a
302171017-s,02163602-a;02586957-a
302412798-s,01070002-a;02404081-a
302881105-a,02869823-a;02889516-a
302914135-a,02902883-a;02980583-a
303024459-a,03012707-a;03013037-a
400008423-r,00008007-r;00205125-r
400041294-r,00040882-r;00041014-r
400080132-r,00079866-r;00258282-r
400086161-r,00085811-r;00166875-r
400113022-r,00112279-r;00128882-r
400172866-r,00064691-r;00171457-r
400232612-r,00230996-r;00285447-r
400386914-r,00385081-r;00502325-r
