00766234-n,(100767587-n);100767761-n
00779248-n,(100781071-n);100780744-n
00949619-n,(100951435-n);(100951878-n)
01934026-a,301940682-s;(301940473-s)
01965512-a,301972513-s;(301972355-s)
02436025-a,(302445314-s);302445119-s
02566644-a,302532138-s;301342529-s
02572119-v,(202578494-v);202578034-v
02672831-n,102675461-n;(102675726-n)
02713769-n,102716628-n;102716929-n
02713992-n,(102716929-n);(102716785-n)
02795978-n,(102799187-n);102799001-n
03794136-n,(104455013-n);103799669-n
04990781-n,107059027-n;107059160-n
05820462-n,(105828731-n);105828606-n
06823760-n,(106836790-n);106836640-n
07035153-n,107048658-n;(107048857-n)
10000459-n,110019979-n;(110020122-n)
10002031-n,110021572-n;(110021663-n)
10012484-n,110032138-n;(110032289-n)
10210648-n,110230249-n;(110230422-n)
12578255-n,(112599160-n);112598760-n
